Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
100,57,170,100,10.0,31,170
200,57,339,200,20.0,62,339
2000,57,3418,2000,200.0,583,3418
10000,57,16974,10000,1000.0,3027,16974
20000,57,34027,20000,2000.0,5974,34027
40000,57,68082,40000,4000.0,11919,68082
60000,57,102142,60000,6000.0,17859,102142
80000,57,136016,80000,8000.0,23985,136016
100000,57,169975,100000,10000.0,30026,169975
2,58,5,3,0.3,0,5
3,58,7,4,0.4,0,7
100,58,171,100,10.0,30,171
200,58,344,200,20.0,57,344
2000,58,3392,2000,200.0,609,3392
10000,58,16982,10000,1000.0,3019,16982
20000,58,33919,20000,2000.0,6082,33919
40000,58,68065,40000,4000.0,11936,68065
60000,58,101880,60000,6000.0,18121,101880
80000,58,135994,80000,8000.0,24007,135994
100000,58,170239,100000,10000.0,29762,170239
2,59,5,3,0.3,0,5
3,59,4,4,0.4,3,4
100,59,170,100,10.0,31,170
200,59,342,200,20.0,59,342
2000,59,3408,2000,200.0,593,3408
10000,59,17040,10000,1000.0,2961,17040
20000,59,33989,20000,2000.0,6012,33989
40000,59,67988,40000,4000.0,12013,67988
60000,59,102311,60000,6000.0,17690,102311
80000,59,135949,80000,8000.0,24052,135949
100000,59,169936,100000,10000.0,30065,169936
2,60,5,3,0.3,0,5
3,60,6,3,0.3,1,6
100,60,165,100,10.0,36,165
200,60,349,200,20.0,52,349
2000,60,3386,2000,200.0,615,3386
10000,60,16984,10000,1000.0,3017,16984
20000,60,33973,20000,2000.0,6028,33973
40000,60,68052,40000,4000.0,11949,68052
60000,60,102054,60000,6000.0,17947,102054
80000,60,135818,80000,8000.0,24183,135818
100000,60,170100,100000,10000.0,29901,170100
2,61,5,3,0.3,0,5
3,61,3,4,0.4,4,3
100,61,170,100,10.0,31,170
200,61,336,200,20.0,65,336
2000,61,3390,2000,200.0,611,3390
10000,61,17039,10000,1000.0,2962,17039
20000,61,33985,20000,2000.0,6016,33985
40000,61,68170,40000,4000.0,11831,68170
60000,61,101734,60000,6000.0,18267,101734
80000,61,136012,80000,8000.0,23989,136012
100000,61,170010,100000,10000.0,29991,170010
2,62,3,2,0.2,2,3
